ID,Qualification,Marital_Status
141,PhD,Married
142,Intermediate,Married
143,Bachelor,Married
144,Master,Married
145,Matric,Married
146,Bachelor,Married
147,Intermediate,Married
148,Master,Married
149,Master,Married
150,Bachelor,Widowed
151,Bachelor,Divorced
152,Bachelor,Single
153,Intermediate,Married
154,Intermediate,Divorced
155,PhD,Married
156,Master,Married
157,Intermediate,Divorced
158,Bachelor,Widowed
159,Bachelor,Single
160,PhD,Married
161,Intermediate,Married
162,PhD,Married
163,PhD,Single
164,Intermediate,Single
165,Master,Single
166,Bachelor,Single
167,Master,Single
168,Bachelor,Married
169,Bachelor,Single
170,Master,Single
171,Bachelor,Single
172,Bachelor,Married
173,PhD,Married
174,Bachelor,Widowed
175,Intermediate,Married
176,Master,Single
177,Bachelor,Single
178,Bachelor,Married
179,Bachelor,Divorced
180,Bachelor,Single
181,Master,Married
182,PhD,Married
183,Bachelor,Married
184,Master,Single
185,Master,Single
186,Bachelor,Married
187,Master,Married
188,Intermediate,Married
189,Bachelor,Married
190,Master,Married
191,Intermediate,Widowed
192,Master,Married
193,PhD,Married
194,Master,Married
195,Master,Divorced
196,Intermediate,Married
197,Bachelor,Married
198,Bachelor,Single
199,Bachelor,Married
200,PhD,Married
201,Intermediate,Divorced
202,Master,Married
203,Master,Single
204,Bachelor,Widowed
205,Bachelor,Single
206,Intermediate,Single
207,Master,Single
208,Bachelor,Single
209,Master,Single
210,Master,Single
211,Master,Married
212,Master,Married
213,PhD,Married
214,Bachelor,Single
215,Bachelor,Married
216,Bachelor,Single
217,Intermediate,Married
218,Bachelor,Single
219,Master,Single
220,Bachelor,Single
221,Master,Single
222,Master,Divorced
223,Bachelor,Single
224,PhD,Single
225,Master,Married
226,Intermediate,Divorced
227,Master,Single
228,Bachelor,Single
229,Intermediate,Single
230,Matric,Married
231,Intermediate,Married
232,Bachelor,Widowed
233,Matric,Married
234,Bachelor,Widowed
235,Master,Single
236,Bachelor,Single
237,Bachelor,Single
238,Bachelor,Widowed
239,Master,Married
240,Bachelor,Single
241,Matric,Single
242,Bachelor,Married
243,Bachelor,Single
244,Bachelor,Married
245,Intermediate,Married
246,Master,Single
247,Master,Single
248,Bachelor,Married
249,Bachelor,Single
250,Master,Married
251,Bachelor,Single
252,Matric,Single
253,Bachelor,Married
254,Master,Married
255,Master,Married
256,Master,Married
257,Bachelor,Single
258,PhD,Married
259,Bachelor,Single
260,PhD,Widowed
261,Intermediate,Divorced
262,Master,Married
263,Bachelor,Married
264,Intermediate,Married
265,Bachelor,Married
266,Bachelor,Single
267,Master,Divorced
268,Master,Married
269,PhD,Divorced
270,Bachelor,Married
271,Master,Married
272,Bachelor,Married
273,Matric,Widowed
274,Bachelor,Divorced
275,Bachelor,Married
276,Master,Married
277,Bachelor,Married
278,Bachelor,Married
279,Intermediate,Single
280,Intermediate,Widowed
281,Master,Married
282,Master,Single
283,Intermediate,Married
284,PhD,Single
285,Intermediate,Divorced
286,Master,Married
287,Intermediate,Single
288,PhD,Widowed
289,Bachelor,Single
290,Bachelor,Divorced
291,Master,Single
292,Master,Married
293,Matric,Widowed
294,Bachelor,Widowed
295,Bachelor,Married
296,Bachelor,Single
297,Bachelor,Divorced
298,Bachelor,Single
299,Bachelor,Married
300,Bachelor,Single
301,Bachelor,Single
302,PhD,Single
303,PhD,Married
304,Master,Married
305,Intermediate,Married
306,Bachelor,Married
307,Bachelor,Married
308,Matric,Widowed
309,PhD,Single
310,Bachelor,Divorced
311,Matric,Divorced
312,Bachelor,Married
313,Bachelor,Single
314,Master,Single
315,Master,Married
316,Bachelor,Married
317,Bachelor,Married
318,Intermediate,Single
319,Matric,Married
320,Bachelor,Single
321,Bachelor,Single
322,Bachelor,Widowed
323,Matric,Widowed
324,Master,Divorced
325,Intermediate,Widowed
326,Master,Married
327,Matric,Married
328,PhD,Married
329,Master,Married
330,Intermediate,Married
331,Bachelor,Married
332,Intermediate,Married
333,Intermediate,Divorced
334,Bachelor,Married
335,PhD,Married
336,Intermediate,Widowed
337,Matric,Married
338,Master,Married
339,Master,Widowed
340,Master,Single
341,Bachelor,Single
342,PhD,Married
343,Intermediate,Single
344,Intermediate,Widowed
345,Bachelor,Married
346,PhD,Married
347,Matric,Divorced
348,PhD,Single
349,Matric,Married
350,Bachelor,Single
351,Intermediate,Single
352,Matric,Divorced
353,Matric,Married
354,Master,Single
355,Master,Married
356,PhD,Married
357,Master,Widowed
358,Master,Married
359,Master,Married
360,Bachelor,Married
361,Intermediate,Married
362,Master,Married
363,Matric,Married
364,Matric,Single
365,Bachelor,Married
366,Bachelor,Married
367,PhD,Divorced
368,PhD,Single
369,PhD,Married
370,Bachelor,Divorced
371,Master,Single
372,Bachelor,Married
373,Master,Married
374,Intermediate,Married
375,Bachelor,Single
376,Master,Single
377,Bachelor,Single
378,Intermediate,Married
379,Matric,Single
380,Master,Married
381,Bachelor,Married
382,Master,Married
383,Intermediate,Single
384,PhD,Married
385,Master,Widowed
386,Bachelor,Married
387,Master,Married
388,Master,Married
389,Bachelor,Single
390,Master,Widowed
391,Intermediate,Widowed
392,Matric,Single
393,Matric,Married
394,Bachelor,Widowed
395,Matric,Divorced
396,Matric,Divorced
397,Bachelor,Divorced
398,Master,Married
399,Intermediate,Divorced
400,Matric,Single
401,Intermediate,Single
402,Master,Widowed
403,Bachelor,Married
404,Bachelor,Married
405,Master,Single
406,Intermediate,Single
407,Bachelor,Single
408,Bachelor,Married
409,Master,Divorced
410,Intermediate,Married
411,Intermediate,Married
412,PhD,Married
413,Bachelor,Married
414,Master,Single
415,Intermediate,Widowed
416,PhD,Divorced
417,Matric,Married
418,Bachelor,Married
419,Intermediate,Divorced
420,Matric,Single
421,PhD,Married
422,Master,Married
423,PhD,Married
424,Master,Married
425,Intermediate,Single
426,Bachelor,Married
427,Bachelor,Married
428,Matric,Divorced
429,Bachelor,Married
430,Bachelor,Married
431,Bachelor,Married
432,Intermediate,Married
433,Bachelor,Divorced
434,Bachelor,Married
435,Bachelor,Married
436,Bachelor,Married
437,Master,Single
438,Bachelor,Single
439,Bachelor,Widowed
440,Intermediate,Married
441,Intermediate,Married
442,PhD,Married
443,Intermediate,Single
444,PhD,Married
445,Bachelor,Divorced
446,Master,Married
447,Matric,Divorced
448,Master,Married
449,PhD,Married
450,PhD,Married
451,Bachelor,Married
452,Master,Married
453,Bachelor,Divorced
454,Master,Divorced
455,Bachelor,Single
456,Bachelor,Married
457,Bachelor,Single
458,Bachelor,Married
459,Bachelor,Married
460,Master,Single
461,Matric,Married
462,Intermediate,Single
463,Bachelor,Married
464,Intermediate,Single
465,Intermediate,Single
466,Matric,Single
467,Intermediate,Single
468,Bachelor,Divorced
469,Bachelor,Single
470,Master,Single
471,Bachelor,Divorced
472,Intermediate,Single
473,Master,Married
474,Bachelor,Single
475,Master,Married
476,Bachelor,Divorced
477,Bachelor,Married
478,Intermediate,Single
479,Intermediate,Married
480,Master,Divorced
481,PhD,Single
482,Master,Divorced
483,Intermediate,Married
484,Master,Widowed
485,Master,Single
486,Master,Married
487,Intermediate,Married
488,Intermediate,Married
489,Intermediate,Single
490,Intermediate,Divorced
491,Master,Single
492,Master,Married
493,Matric,Single
494,Intermediate,Divorced
495,Intermediate,Single
496,Intermediate,Single
497,Master,Divorced
498,Matric,Single
499,Intermediate,Married
500,Master,Single
501,Intermediate,Married
502,Bachelor,Divorced
503,Bachelor,Widowed
504,Master,Married
505,Master,Married
506,Bachelor,Single
507,Matric,Married
508,Master,Divorced
509,Master,Married
510,Master,Single
511,Bachelor,Married
512,Matric,Married
513,Intermediate,Single
514,Intermediate,Married
515,PhD,Married
516,PhD,Single
517,Master,Single
518,Intermediate,Married
519,Intermediate,Married
520,Master,Married
521,Intermediate,Married
522,Bachelor,Single
523,Master,Single
524,Bachelor,Married
525,Matric,Single
526,Bachelor,Single
527,Bachelor,Married
528,Intermediate,Married
529,Master,Single
530,Master,Divorced
531,Master,Married
532,Bachelor,Married
533,Master,Married
534,Master,Single
535,Matric,Single
536,Bachelor,Married
537,Intermediate,Single
538,Intermediate,Single
539,PhD,Married
540,Bachelor,Single
541,PhD,Single
542,Bachelor,Married
543,Bachelor,Single
544,Master,Divorced
545,PhD,Single
546,Master,Single
547,Bachelor,Married
548,PhD,Married
549,Bachelor,Single
550,Master,Married
551,Master,Widowed
552,Bachelor,Divorced
553,Bachelor,Single
554,PhD,Married
555,Bachelor,Married
556,Bachelor,Divorced
557,Master,Married
558,Bachelor,Married
559,Bachelor,Single
560,Bachelor,Married
561,Matric,Single
562,Bachelor,Single
563,Matric,Single
564,Bachelor,Divorced
565,Master,Divorced
566,Bachelor,Married
567,PhD,Single
568,Intermediate,Single
569,PhD,Single
570,Master,Married
571,Matric,Divorced
572,Master,Married
573,Master,Single
574,Bachelor,Widowed
575,Bachelor,Married
576,Master,Married
577,Bachelor,Single
578,Intermediate,Single
579,PhD,Married
580,Matric,Single
581,Matric,Divorced
582,Master,Single
583,Matric,Widowed
584,Master,Single
585,Master,Single
586,Bachelor,Married
587,Bachelor,Single
588,PhD,Divorced
589,Intermediate,Married
590,Master,Married
591,Intermediate,Single
592,Master,Single
593,Bachelor,Single
594,Master,Married
595,Master,Married
596,PhD,Married
597,Bachelor,Single
598,Master,Divorced
599,Bachelor,Married
600,Bachelor,Married
601,Master,Widowed
602,Bachelor,Married
603,Master,Married
604,Bachelor,Single
605,Matric,Single
606,Bachelor,Married
607,Master,Single
608,Intermediate,Divorced
609,Bachelor,Married
610,Bachelor,Married
611,Master,Married
612,Bachelor,Married
613,Bachelor,Married
614,Intermediate,Single
615,Matric,Married
616,Master,Single
617,Master,Single
618,Bachelor,Married
619,PhD,Married
620,Master,Widowed
621,Intermediate,Widowed
622,Master,Married
623,Master,Married
624,Master,Married
625,Bachelor,Single
626,PhD,Married
627,PhD,Married
628,Master,Widowed
629,PhD,Married
630,Bachelor,Married
631,Master,Widowed
632,Bachelor,Divorced
633,PhD,Married
634,PhD,Widowed
635,Bachelor,Divorced
636,PhD,Married
637,Master,Single
638,Intermediate,Married
639,Matric,Single
640,Intermediate,Married
641,Master,Divorced
642,Bachelor,Married
643,Bachelor,Married
644,PhD,Married
645,Intermediate,Single
646,Bachelor,Married
647,Intermediate,Married
648,Bachelor,Single
649,Bachelor,Married
650,Bachelor,Single
651,Master,Single
652,Bachelor,Single
653,Matric,Married
654,Bachelor,Single
655,PhD,Widowed
656,Master,Married
657,Matric,Divorced
658,Intermediate,Married
659,Matric,Married
660,Bachelor,Single
661,Master,Married
662,Bachelor,Widowed
663,Bachelor,Married
664,Bachelor,Married
665,Bachelor,Divorced
666,Intermediate,Married
667,Master,Married
668,Bachelor,Single
669,Bachelor,Single
670,PhD,Married
671,PhD,Married
672,PhD,Single
673,Master,Single
674,Master,Married
675,Bachelor,Single
676,Bachelor,Single
677,Bachelor,Married
678,Master,Single
679,PhD,Married
680,Intermediate,Single
681,Matric,Divorced
682,Intermediate,Single
683,Bachelor,Single
684,Bachelor,Single
685,Bachelor,Married
686,Bachelor,Single
687,Intermediate,Single
688,Bachelor,Married
689,Master,Widowed
690,Master,Married
691,Bachelor,Divorced
692,PhD,Married
693,Matric,Divorced
694,Intermediate,Single
695,Bachelor,Divorced
696,Bachelor,Single
697,Bachelor,Married
698,Matric,Single
699,Bachelor,Divorced
700,Master,Married
701,PhD,Married
702,Intermediate,Single
703,Matric,Single
704,Intermediate,Widowed
705,Master,Single
706,Bachelor,Married
707,Master,Single
708,Intermediate,Single
709,Bachelor,Married
710,Intermediate,Widowed
711,PhD,Married
712,Bachelor,Divorced
713,Bachelor,Single
714,Matric,Single
715,Matric,Married
716,Intermediate,Single
717,Master,Single
718,Matric,Married
719,Master,Married
720,Matric,Single
721,Bachelor,Single
722,Master,Widowed
723,Bachelor,Married
724,Bachelor,Single
725,Bachelor,Single
726,Bachelor,Married
727,Bachelor,Widowed
728,Intermediate,Married
729,Bachelor,Single
730,Master,Married
731,Matric,Single
732,Master,Married
733,Bachelor,Single
734,Bachelor,Single
735,PhD,Married
736,Intermediate,Single
737,Intermediate,Married
738,Matric,Single
739,Bachelor,Divorced
740,Intermediate,Married
741,Master,Widowed
742,Master,Widowed
743,Master,Married
744,Bachelor,Married
745,Bachelor,Single
746,PhD,Married
747,Intermediate,Married
748,PhD,Single
749,Master,Single
750,Master,Married
751,Intermediate,Married
752,Bachelor,Single
753,Master,Married
754,Intermediate,Single
755,PhD,Married
756,Bachelor,Divorced
757,Master,Single
758,Bachelor,Married
759,Matric,Married
760,Master,Married
761,PhD,Single
762,Bachelor,Married
763,Bachelor,Divorced
764,Intermediate,Married
765,Master,Married
766,Bachelor,Divorced
767,Matric,Single
768,Intermediate,Married
769,Bachelor,Single
770,Bachelor,Married
771,Master,Married
772,Master,Single
773,Master,Married
774,Matric,Single
775,Matric,Divorced
776,Matric,Single
777,PhD,Married
778,Master,Divorced
779,Intermediate,Single
780,Master,Married
781,PhD,Widowed
782,Bachelor,Single
783,Bachelor,Married
784,Intermediate,Divorced
785,Intermediate,Divorced
786,Intermediate,Divorced
787,Master,Married
788,Intermediate,Married
789,Bachelor,Divorced
790,Intermediate,Divorced
791,Matric,Married
792,Matric,Married
793,Bachelor,Single
794,Intermediate,Divorced
795,Bachelor,Single
796,Bachelor,Married
797,Master,Single
798,Bachelor,Married
799,Bachelor,Single
800,PhD,Married
801,PhD,Married
802,Bachelor,Single
803,Bachelor,Married
804,Master,Single
805,Bachelor,Married
806,Bachelor,Widowed
807,Master,Married
808,Intermediate,Widowed
809,Master,Married
810,Bachelor,Married
811,Master,Single
812,Master,Married
813,Intermediate,Widowed
814,Bachelor,Married
815,Intermediate,Married
816,Matric,Widowed
817,Bachelor,Single
818,Matric,Single
819,Master,Divorced
820,PhD,Single
821,Intermediate,Single
822,Master,Single
823,Bachelor,Married
824,Master,Married
825,Master,Divorced
826,Bachelor,Married
827,Master,Single
828,Intermediate,Married
829,PhD,Married
830,Master,Married
831,Bachelor,Married
832,PhD,Married
833,PhD,Married
834,Intermediate,Single
835,Bachelor,Married
836,Master,Married
837,Master,Single
838,PhD,Widowed
839,Intermediate,Single
840,Master,Single
841,Intermediate,Married
842,Bachelor,Single
843,Master,Married
844,Master,Widowed
845,PhD,Single
846,Master,Married
847,Master,Married
848,Master,Single
849,PhD,Single
850,Matric,Single
851,Intermediate,Married
852,Bachelor,Divorced
853,Intermediate,Married
854,Bachelor,Married
855,PhD,Single
856,Bachelor,Single
857,Bachelor,Married
858,Bachelor,Married
859,Master,Married
860,Bachelor,Single
861,Intermediate,Married
862,Intermediate,Single
863,Master,Married
864,Matric,Single
865,Master,Married
866,Bachelor,Divorced
867,Intermediate,Single
868,Master,Married
869,Master,Married
870,Matric,Married
871,Master,Married
872,Intermediate,Married
873,Intermediate,Married
874,Bachelor,Married
875,Intermediate,Married
876,Intermediate,Single
877,Bachelor,Single
878,Master,Married
879,Matric,Single
880,Bachelor,Married
881,Bachelor,Married
882,Intermediate,Single
883,Bachelor,Single
884,PhD,Single
885,Bachelor,Single
886,Intermediate,Married
887,Bachelor,Single
888,Matric,Single
889,Master,Married
890,Bachelor,Married
891,Bachelor,Married
892,Master,Single
893,Intermediate,Single
894,Bachelor,Married
895,Bachelor,Married
896,Master,Married
897,PhD,Married
898,Intermediate,Single
899,Intermediate,Single
900,Master,Married
901,Matric,Married
902,Bachelor,Divorced
903,PhD,Married
904,Bachelor,Single
905,Bachelor,Married
906,PhD,Single
907,Master,Single
908,Intermediate,Married
909,Bachelor,Single
910,PhD,Married
911,Master,Married
912,Bachelor,Married
913,PhD,Divorced
914,Intermediate,Divorced
915,Intermediate,Widowed
916,Matric,Single
917,Bachelor,Divorced
918,Intermediate,Married
919,Matric,Widowed
920,Master,Married
921,Matric,Single
922,Matric,Single
923,Bachelor,Married
924,Matric,Single
925,Intermediate,Married
926,Master,Married
927,PhD,Married
928,Matric,Divorced
929,PhD,Single
930,Bachelor,Widowed
931,Bachelor,Single
932,Bachelor,Married
933,Bachelor,Single
934,Bachelor,Married
935,Intermediate,Married
936,Bachelor,Single
937,Bachelor,Divorced
938,Intermediate,Married
939,Master,Married
940,PhD,Married
941,Intermediate,Married
942,PhD,Married
943,Matric,Widowed
944,Master,Married
945,Bachelor,Widowed
946,Master,Single
947,Master,Married
948,Master,Married
949,Bachelor,Married
950,Bachelor,Married
951,Bachelor,Married
952,Intermediate,Married
953,Master,Married
954,Master,Divorced
955,Bachelor,Single
956,Intermediate,Married
957,Master,Married
958,Master,Married
959,Bachelor,Married
960,Intermediate,Single
961,Bachelor,Married
962,Intermediate,Married
963,PhD,Widowed
964,Bachelor,Single
965,Intermediate,Divorced
966,Master,Married
967,Master,Married
968,Matric,Single
969,Matric,Single
970,Bachelor,Single
971,Bachelor,Married
972,Master,Married
973,Intermediate,Single
974,Master,Single
975,PhD,Married
976,Bachelor,Married
977,Bachelor,Married
978,Master,Married
979,Bachelor,Single
980,PhD,Single
981,Bachelor,Married
982,Intermediate,Widowed
983,PhD,Married
984,Master,Married
985,Bachelor,Married
986,PhD,Married
987,Bachelor,Married
988,Intermediate,Divorced
989,Bachelor,Single
990,PhD,Single
991,Matric,Single
992,Master,Single
993,Master,Married
994,Master,Single
995,Bachelor,Single
996,Master,Single
997,Bachelor,Widowed
998,Intermediate,Widowed
999,Matric,Single
1000,Bachelor,Married
1001,Intermediate,Divorced
1002,Master,Divorced
1003,Master,Married
1004,Intermediate,Single
1005,Master,Single
1006,Bachelor,Single
1007,Intermediate,Single
1008,Bachelor,Married
1009,Master,Married
1010,Matric,Married
1011,Bachelor,Single
1012,PhD,Married
1013,Master,Married
1014,Master,Married
1015,Matric,Divorced
1016,Matric,Divorced
1017,Intermediate,Single
1018,Bachelor,Divorced
1019,Master,Married
1020,Bachelor,Single
1021,Bachelor,Married
1022,Intermediate,Single
1023,Matric,Married
1024,Matric,Single
1025,Matric,Divorced
1026,Bachelor,Married
1027,Intermediate,Widowed
1028,Bachelor,Married
1029,Master,Widowed
1030,Master,Single
1031,Bachelor,Single
1032,Master,Married
1033,Intermediate,Married
1034,Master,Married
1035,Intermediate,Single
1036,Intermediate,Widowed
1037,Master,Divorced
1038,Bachelor,Single
1039,Intermediate,Single
1040,Bachelor,Single
1041,Master,Married
1042,Matric,Married
1043,Bachelor,Married
1044,PhD,Married
1045,Master,Single
1046,Master,Married
1047,Bachelor,Single
1048,Master,Divorced
1049,Master,Married
1050,Master,Married
1051,Matric,Married
1052,Master,Divorced
1053,Matric,Married
1054,Bachelor,Single
1055,PhD,Married
1056,Bachelor,Married
1057,Intermediate,Single
1058,Master,Married
1059,Master,Married
1060,Intermediate,Single
1061,Bachelor,Married
1062,Master,Married
1063,Master,Single
1064,Master,Married
1065,PhD,Widowed
1066,Master,Married
1067,Matric,Married
1068,PhD,Single
1069,Matric,Divorced
1070,Master,Single
1071,Intermediate,Single
1072,Bachelor,Married
1073,Matric,Single
1074,Bachelor,Single
1075,Master,Single
1076,Intermediate,Single
1077,PhD,Divorced
1078,Master,Married
1079,Master,Married
1080,Bachelor,Married
1081,Bachelor,Married
1082,Matric,Single
1083,Master,Married
1084,Master,Divorced
1085,Bachelor,Single
1086,Intermediate,Single
1087,Master,Divorced
1088,Intermediate,Married
1089,Matric,Single
1090,Intermediate,Single
1091,Intermediate,Married
1092,Intermediate,Married
1093,Intermediate,Divorced
1094,Master,Married
1095,Bachelor,Single
1096,Bachelor,Single
1097,Matric,Single
1098,Bachelor,Single
1099,Bachelor,Married
1100,Intermediate,Single
1101,Master,Divorced
1102,PhD,Single
1103,Bachelor,Married
1104,Master,Married
1105,Intermediate,Divorced
1106,Bachelor,Married
1107,Bachelor,Divorced
1108,PhD,Single
1109,Master,Single
1110,PhD,Married
1111,Bachelor,Single
1112,Bachelor,Divorced
1113,Intermediate,Married
1114,Bachelor,Married
1115,Matric,Married
1116,Bachelor,Single
1117,Master,Single
1118,Bachelor,Divorced
1119,Master,Married
1120,Bachelor,Married
1121,Matric,Single
1122,PhD,Married
1123,Intermediate,Married
1124,Intermediate,Single
1125,Master,Widowed
1126,Matric,Widowed
1127,Bachelor,Single
1128,Intermediate,Single
1129,Matric,Married
1130,Intermediate,Divorced
1131,Master,Married
1132,Bachelor,Married
1133,Intermediate,Single
1134,Bachelor,Divorced
1135,Intermediate,Single
1136,Intermediate,Married
1137,PhD,Married
1138,Bachelor,Married
1139,Master,Married
1140,PhD,Married
1141,Bachelor,Single
1142,Master,Married
1143,Intermediate,Divorced
1144,Bachelor,Single
1145,Bachelor,Single
1146,Bachelor,Single
1147,Bachelor,Married
1148,Bachelor,Single
1149,Intermediate,Married
1150,Matric,Married
1151,Matric,Single
1152,Intermediate,Divorced
1153,PhD,Married
1154,Bachelor,Married
1155,Intermediate,Married
1156,Master,Married
1157,Master,Single
1158,Bachelor,Divorced
1159,Bachelor,Single
1160,Intermediate,Married
1161,Bachelor,Single
1162,Bachelor,Married
1163,Bachelor,Single
1164,Bachelor,Married
1165,Bachelor,Married
1166,Bachelor,Single
1167,Master,Married
1168,Master,Single
1169,Master,Single
1170,PhD,Married
1171,Bachelor,Married
1172,Bachelor,Divorced
1173,Master,Single
1174,Intermediate,Single
1175,Matric,Single
1176,Bachelor,Divorced
1177,Intermediate,Single
1178,Bachelor,Married
1179,Master,Married
1180,Bachelor,Single
1181,Master,Divorced
1182,Bachelor,Single
1183,Bachelor,Divorced
1184,Matric,Divorced
1185,PhD,Married
1186,PhD,Divorced
1187,Intermediate,Married
1188,Bachelor,Divorced
1189,Intermediate,Married
1190,PhD,Married
1191,Bachelor,Married
1192,Bachelor,Single
1193,PhD,Divorced
1194,Bachelor,Married
1195,Bachelor,Married
1196,Bachelor,Single
1197,Intermediate,Married
1198,Intermediate,Single
1199,Matric,Married
1200,Intermediate,Single
1201,Bachelor,Married
1202,Matric,Married
1203,Intermediate,Widowed
1204,Intermediate,Divorced
1205,Master,Single
1206,Intermediate,Married
1207,Bachelor,Single
1208,Master,Married
1209,Intermediate,Single
1210,Intermediate,Single
1211,Bachelor,Married
1212,Master,Married
1213,Master,Married
1214,Intermediate,Single
1215,Bachelor,Married
1216,Master,Married
1217,Bachelor,Married
1218,Master,Married
1219,Matric,Single
1220,Master,Married
1221,Intermediate,Widowed
1222,Bachelor,Divorced
1223,Intermediate,Married
1224,Master,Single
1225,Master,Married
1226,Master,Married
1227,Intermediate,Widowed
1228,Bachelor,Single
1229,Bachelor,Married
1230,Bachelor,Single
1231,Bachelor,Married
1232,Bachelor,Single
1233,Master,Married
1234,Master,Single
1235,Master,Married
1236,Master,Single
1237,Bachelor,Widowed
1238,Bachelor,Married
1239,Intermediate,Divorced
1240,Bachelor,Married
1241,Bachelor,Single
1242,Bachelor,Divorced
1243,Matric,Single
1244,Master,Single
1245,Bachelor,Single
1246,Intermediate,Single
1247,Bachelor,Single
1248,Master,Single
1249,Bachelor,Married
1250,Master,Married
1251,Matric,Married
1252,Master,Divorced
1253,Bachelor,Married
1254,PhD,Single
1255,Matric,Single
1256,Master,Married
1257,Bachelor,Divorced
1258,Master,Married
1259,Bachelor,Married
1260,Matric,Single
1261,Bachelor,Married
1262,Matric,Widowed
1263,Bachelor,Married
1264,Intermediate,Single
1265,Bachelor,Widowed
1266,Bachelor,Married
1267,Master,Married
1268,PhD,Divorced
1269,Bachelor,Single
1270,Bachelor,Married
1271,Bachelor,Married
1272,Master,Married
1273,Intermediate,Single
1274,Bachelor,Single
1275,PhD,Single
1276,Master,Single
1277,PhD,Single
1278,Intermediate,Married
1279,Master,Divorced
1280,Intermediate,Single
1281,Intermediate,Single
1282,PhD,Married
1283,Bachelor,Single
1284,Intermediate,Married
1285,Bachelor,Married
1286,PhD,Married
1287,Master,Married
1288,Bachelor,Single
1289,Matric,Married
1290,Master,Married
1291,Intermediate,Widowed
1292,Bachelor,Married
1293,Intermediate,Married
1294,Intermediate,Single
1295,Bachelor,Single
1296,Master,Single
1297,PhD,Married
1298,Master,Married
1299,Bachelor,Single
1300,PhD,Widowed
1301,Bachelor,Single
1302,Matric,Single
1303,Master,Single
1304,PhD,Widowed
1305,Bachelor,Married
1306,Intermediate,Widowed
1307,Intermediate,Single
1308,Master,Single
1309,Master,Married
1310,Bachelor,Married
1311,Bachelor,Married
1312,Bachelor,Single
1313,Bachelor,Married
1314,Bachelor,Single
1315,Bachelor,Single
1316,Bachelor,Single
1317,Intermediate,Married
1318,Matric,Single
1319,Bachelor,Married
1320,Master,Married
1321,Matric,Single
1322,Master,Married
1323,Bachelor,Single
1324,Master,Married
1325,Master,Single
1326,Bachelor,Single
1327,Bachelor,Married
1328,Intermediate,Married
1329,Bachelor,Married
1330,Bachelor,Single
1331,Master,Single
1332,Master,Divorced
1333,Intermediate,Married
1334,Bachelor,Single
1335,Bachelor,Married
1336,Matric,Married
1337,PhD,Married
