ID,Job_Type,Job_Satisfaction
365,Part-Time,Dissatisfied
366,Freelance,Very Satisfied
367,Full-Time,Very Satisfied
368,Full-Time,Neutral
369,Contract,Dissatisfied
370,Full-Time,Very Dissatisfied
371,Full-Time,Dissatisfied
372,Full-Time,Very Satisfied
373,Freelance,Neutral
374,Freelance,Very Satisfied
375,Full-Time,Dissatisfied
376,Full-Time,Satisfied
377,Full-Time,Very Satisfied
378,Full-Time,Satisfied
379,Freelance,Satisfied
380,Contract,Very Satisfied
381,Full-Time,Neutral
382,Full-Time,Satisfied
383,Full-Time,Satisfied
384,Full-Time,Neutral
385,Full-Time,Neutral
386,Full-Time,Satisfied
387,Full-Time,Dissatisfied
388,Part-Time,Neutral
389,Freelance,Satisfied
390,Freelance,Very Satisfied
391,Internship,Dissatisfied
392,Full-Time,Satisfied
393,Full-Time,Very Satisfied
394,Part-Time,Very Dissatisfied
395,Part-Time,Dissatisfied
396,Freelance,Neutral
397,Part-Time,Very Dissatisfied
398,Part-Time,Neutral
399,Internship,Dissatisfied
400,Full-Time,Satisfied
401,Contract,Dissatisfied
402,Full-Time,Satisfied
403,Freelance,Neutral
404,Freelance,Satisfied
405,Full-Time,Neutral
406,Part-Time,Very Satisfied
407,Part-Time,Very Satisfied
408,Freelance,Satisfied
409,Freelance,Satisfied
410,Full-Time,Neutral
411,Full-Time,Satisfied
412,Full-Time,Neutral
413,Full-Time,Neutral
414,Freelance,Satisfied
415,Full-Time,Very Satisfied
416,Full-Time,Satisfied
417,Internship,Satisfied
418,Part-Time,Dissatisfied
419,Part-Time,Neutral
420,Full-Time,Satisfied
421,Full-Time,Satisfied
422,Freelance,Satisfied
423,Part-Time,Neutral
424,Contract,Neutral
425,Full-Time,Satisfied
426,Contract,Satisfied
427,Part-Time,Very Satisfied
428,Part-Time,Neutral
429,Full-Time,Satisfied
430,Full-Time,Satisfied
431,Full-Time,Very Satisfied
432,Internship,Neutral
433,Freelance,Dissatisfied
434,Freelance,Satisfied
435,Contract,Neutral
436,Full-Time,Very Satisfied
437,Full-Time,Dissatisfied
438,Full-Time,Satisfied
439,Full-Time,Very Satisfied
440,Part-Time,Very Satisfied
441,Full-Time,Satisfied
442,Contract,Neutral
443,Contract,Dissatisfied
444,Freelance,Very Satisfied
445,Full-Time,Dissatisfied
446,Contract,Dissatisfied
447,Full-Time,Dissatisfied
448,Part-Time,Very Satisfied
449,Part-Time,Neutral
450,Full-Time,Satisfied
451,Contract,Dissatisfied
452,Full-Time,Neutral
453,Freelance,Satisfied
454,Freelance,Neutral
455,Full-Time,Satisfied
456,Full-Time,Very Satisfied
457,Part-Time,Very Satisfied
458,Full-Time,Dissatisfied
459,Contract,Dissatisfied
460,Full-Time,Dissatisfied
461,Freelance,Satisfied
462,Full-Time,Neutral
463,Part-Time,Satisfied
464,Freelance,Very Satisfied
465,Part-Time,Very Dissatisfied
466,Full-Time,Satisfied
467,Full-Time,Satisfied
468,Full-Time,Neutral
469,Freelance,Neutral
470,Full-Time,Satisfied
471,Full-Time,Satisfied
472,Part-Time,Neutral
473,Contract,Very Satisfied
474,Full-Time,Satisfied
475,Full-Time,Very Satisfied
476,Freelance,Satisfied
477,Full-Time,Satisfied
478,Part-Time,Dissatisfied
479,Full-Time,Very Satisfied
480,Full-Time,Very Satisfied
481,Part-Time,Neutral
482,Contract,Neutral
483,Internship,Neutral
484,Contract,Dissatisfied
485,Contract,Neutral
486,Contract,Neutral
487,Contract,Neutral
488,Freelance,Very Satisfied
489,Freelance,Very Satisfied
490,Full-Time,Satisfied
491,Part-Time,Very Satisfied
492,Full-Time,Satisfied
493,Part-Time,Neutral
494,Freelance,Neutral
495,Internship,Very Satisfied
496,Contract,Very Satisfied
497,Full-Time,Very Dissatisfied
498,Contract,Neutral
499,Full-Time,Very Satisfied
500,Contract,Very Satisfied
501,Full-Time,Neutral
502,Full-Time,Satisfied
503,Contract,Satisfied
504,Full-Time,Satisfied
505,Part-Time,Neutral
506,Contract,Very Satisfied
507,Full-Time,Satisfied
508,Internship,Dissatisfied
509,Full-Time,Satisfied
510,Full-Time,Neutral
511,Part-Time,Neutral
512,Contract,Very Satisfied
513,Part-Time,Very Dissatisfied
514,Full-Time,Neutral
515,Internship,Dissatisfied
516,Full-Time,Satisfied
517,Contract,Very Satisfied
518,Full-Time,Neutral
519,Full-Time,Neutral
520,Freelance,Very Satisfied
521,Freelance,Very Satisfied
522,Part-Time,Very Satisfied
523,Internship,Satisfied
524,Contract,Very Satisfied
525,Full-Time,Satisfied
526,Freelance,Satisfied
527,Full-Time,Very Satisfied
528,Full-Time,Satisfied
529,Part-Time,Very Dissatisfied
530,Contract,Satisfied
531,Freelance,Neutral
532,Part-Time,Satisfied
533,Full-Time,Neutral
534,Full-Time,Very Dissatisfied
535,Contract,Satisfied
536,Full-Time,Satisfied
537,Full-Time,Neutral
538,Full-Time,Satisfied
539,Part-Time,Dissatisfied
540,Full-Time,Neutral
541,Internship,Dissatisfied
542,Contract,Very Satisfied
543,Freelance,Very Satisfied
544,Full-Time,Neutral
545,Full-Time,Very Satisfied
546,Full-Time,Satisfied
547,Freelance,Neutral
548,Contract,Dissatisfied
549,Part-Time,Dissatisfied
550,Contract,Very Satisfied
551,Part-Time,Satisfied
552,Contract,Satisfied
553,Part-Time,Very Satisfied
554,Full-Time,Dissatisfied
555,Freelance,Neutral
556,Freelance,Very Satisfied
557,Full-Time,Satisfied
558,Contract,Neutral
559,Full-Time,Very Satisfied
560,Freelance,Neutral
561,Part-Time,Very Satisfied
562,Internship,Neutral
563,Full-Time,Satisfied
564,Full-Time,Very Satisfied
565,Part-Time,Dissatisfied
566,Part-Time,Dissatisfied
567,Contract,Satisfied
568,Internship,Neutral
569,Full-Time,Satisfied
570,Internship,Very Dissatisfied
571,Full-Time,Neutral
572,Freelance,Neutral
573,Full-Time,Very Satisfied
574,Full-Time,Satisfied
575,Full-Time,Satisfied
576,Freelance,Satisfied
577,Part-Time,Satisfied
578,Full-Time,Very Satisfied
579,Internship,Dissatisfied
580,Full-Time,Dissatisfied
581,Internship,Very Satisfied
582,Full-Time,Neutral
583,Part-Time,Satisfied
584,Contract,Neutral
585,Internship,Very Dissatisfied
586,Full-Time,Satisfied
587,Internship,Dissatisfied
588,Full-Time,Very Dissatisfied
589,Freelance,Neutral
590,Full-Time,Satisfied
591,Freelance,Very Satisfied
592,Full-Time,Dissatisfied
593,Part-Time,Satisfied
594,Part-Time,Dissatisfied
595,Full-Time,Very Satisfied
596,Contract,Neutral
597,Part-Time,Very Satisfied
598,Part-Time,Satisfied
599,Full-Time,Dissatisfied
600,Freelance,Satisfied
601,Freelance,Neutral
602,Full-Time,Neutral
603,Part-Time,Neutral
604,Full-Time,Neutral
605,Freelance,Dissatisfied
606,Full-Time,Neutral
607,Full-Time,Satisfied
608,Contract,Dissatisfied
609,Internship,Neutral
610,Part-Time,Very Satisfied
611,Freelance,Dissatisfied
612,Full-Time,Satisfied
613,Full-Time,Satisfied
614,Full-Time,Neutral
615,Full-Time,Satisfied
616,Freelance,Neutral
617,Full-Time,Very Satisfied
618,Full-Time,Dissatisfied
619,Freelance,Dissatisfied
620,Contract,Satisfied
621,Internship,Dissatisfied
622,Full-Time,Satisfied
623,Full-Time,Satisfied
624,Part-Time,Neutral
625,Full-Time,Very Satisfied
626,Full-Time,Very Satisfied
627,Contract,Dissatisfied
628,Contract,Dissatisfied
629,Freelance,Dissatisfied
630,Full-Time,Very Satisfied
631,Full-Time,Dissatisfied
632,Full-Time,Very Satisfied
633,Internship,Very Dissatisfied
634,Part-Time,Very Satisfied
635,Contract,Satisfied
636,Full-Time,Satisfied
637,Full-Time,Satisfied
638,Full-Time,Very Satisfied
639,Part-Time,Satisfied
640,Full-Time,Neutral
641,Full-Time,Very Satisfied
642,Internship,Neutral
643,Freelance,Very Satisfied
644,Full-Time,Neutral
645,Full-Time,Satisfied
646,Contract,Dissatisfied
647,Part-Time,Dissatisfied
648,Full-Time,Very Satisfied
649,Full-Time,Satisfied
650,Full-Time,Neutral
651,Contract,Very Dissatisfied
652,Freelance,Neutral
653,Full-Time,Satisfied
654,Contract,Very Satisfied
655,Full-Time,Very Satisfied
656,Full-Time,Satisfied
657,Contract,Very Dissatisfied
658,Full-Time,Satisfied
659,Freelance,Satisfied
660,Full-Time,Satisfied
661,Freelance,Neutral
662,Full-Time,Neutral
663,Full-Time,Very Satisfied
664,Internship,Satisfied
665,Freelance,Very Satisfied
666,Internship,Neutral
667,Full-Time,Satisfied
668,Full-Time,Satisfied
669,Contract,Neutral
670,Part-Time,Satisfied
671,Contract,Very Satisfied
672,Part-Time,Very Satisfied
673,Freelance,Satisfied
674,Part-Time,Dissatisfied
675,Contract,Satisfied
676,Full-Time,Very Satisfied
677,Contract,Very Dissatisfied
678,Internship,Very Dissatisfied
679,Part-Time,Neutral
680,Full-Time,Satisfied
681,Part-Time,Dissatisfied
682,Part-Time,Satisfied
683,Freelance,Neutral
684,Full-Time,Very Satisfied
685,Full-Time,Satisfied
686,Full-Time,Very Dissatisfied
687,Freelance,Very Satisfied
688,Full-Time,Satisfied
689,Full-Time,Satisfied
690,Freelance,Neutral
691,Internship,Dissatisfied
692,Full-Time,Neutral
693,Full-Time,Dissatisfied
694,Freelance,Neutral
695,Full-Time,Satisfied
696,Contract,Satisfied
697,Internship,Very Satisfied
698,Contract,Very Satisfied
699,Contract,Dissatisfied
700,Freelance,Satisfied
701,Contract,Neutral
702,Contract,Satisfied
703,Part-Time,Satisfied
704,Contract,Satisfied
705,Full-Time,Very Dissatisfied
706,Full-Time,Neutral
707,Contract,Dissatisfied
708,Full-Time,Neutral
709,Contract,Very Dissatisfied
710,Contract,Dissatisfied
711,Contract,Neutral
712,Part-Time,Satisfied
713,Internship,Neutral
714,Full-Time,Very Dissatisfied
715,Contract,Neutral
716,Freelance,Very Satisfied
717,Part-Time,Neutral
718,Full-Time,Satisfied
719,Full-Time,Satisfied
720,Full-Time,Satisfied
721,Contract,Very Dissatisfied
722,Full-Time,Satisfied
723,Full-Time,Satisfied
724,Full-Time,Neutral
725,Full-Time,Satisfied
726,Full-Time,Very Dissatisfied
727,Contract,Neutral
728,Full-Time,Satisfied
729,Contract,Dissatisfied
730,Freelance,Satisfied
731,Full-Time,Neutral
732,Full-Time,Dissatisfied
733,Contract,Satisfied
734,Contract,Satisfied
735,Full-Time,Satisfied
736,Part-Time,Very Dissatisfied
737,Full-Time,Satisfied
738,Full-Time,Dissatisfied
739,Full-Time,Neutral
740,Full-Time,Dissatisfied
741,Full-Time,Very Satisfied
742,Full-Time,Satisfied
743,Part-Time,Dissatisfied
744,Freelance,Dissatisfied
745,Full-Time,Satisfied
746,Part-Time,Satisfied
747,Full-Time,Neutral
748,Part-Time,Satisfied
749,Freelance,Satisfied
750,Full-Time,Satisfied
751,Part-Time,Satisfied
752,Full-Time,Very Satisfied
753,Contract,Satisfied
754,Full-Time,Very Dissatisfied
755,Freelance,Satisfied
756,Contract,Satisfied
757,Contract,Dissatisfied
758,Freelance,Neutral
759,Full-Time,Very Satisfied
760,Full-Time,Satisfied
761,Full-Time,Very Satisfied
762,Full-Time,Very Satisfied
763,Full-Time,Very Dissatisfied
764,Part-Time,Dissatisfied
765,Contract,Neutral
766,Full-Time,Satisfied
767,Contract,Dissatisfied
768,Part-Time,Neutral
769,Part-Time,Neutral
770,Full-Time,Very Satisfied
771,Full-Time,Very Satisfied
772,Full-Time,Satisfied
773,Contract,Dissatisfied
774,Freelance,Neutral
775,Freelance,Very Satisfied
776,Full-Time,Satisfied
777,Full-Time,Satisfied
778,Full-Time,Very Satisfied
779,Freelance,Satisfied
780,Full-Time,Very Satisfied
781,Contract,Very Satisfied
782,Full-Time,Very Satisfied
783,Full-Time,Neutral
784,Freelance,Very Satisfied
785,Full-Time,Satisfied
786,Freelance,Very Satisfied
787,Freelance,Very Satisfied
788,Full-Time,Neutral
789,Full-Time,Very Dissatisfied
790,Full-Time,Satisfied
791,Full-Time,Satisfied
792,Part-Time,Satisfied
793,Part-Time,Neutral
794,Full-Time,Dissatisfied
795,Contract,Dissatisfied
796,Internship,Neutral
797,Full-Time,Neutral
798,Full-Time,Dissatisfied
799,Part-Time,Neutral
800,Full-Time,Satisfied
801,Part-Time,Very Satisfied
802,Full-Time,Satisfied
803,Freelance,Satisfied
804,Contract,Very Dissatisfied
805,Full-Time,Satisfied
806,Contract,Neutral
807,Part-Time,Satisfied
808,Contract,Neutral
809,Part-Time,Dissatisfied
810,Full-Time,Satisfied
811,Freelance,Very Satisfied
812,Full-Time,Satisfied
813,Full-Time,Dissatisfied
814,Freelance,Very Satisfied
815,Full-Time,Dissatisfied
816,Contract,Very Dissatisfied
817,Full-Time,Neutral
818,Part-Time,Dissatisfied
819,Full-Time,Dissatisfied
820,Freelance,Satisfied
821,Full-Time,Satisfied
822,Freelance,Satisfied
823,Contract,Satisfied
824,Contract,Satisfied
825,Contract,Satisfied
826,Contract,Very Dissatisfied
827,Full-Time,Neutral
828,Full-Time,Satisfied
829,Contract,Very Dissatisfied
830,Contract,Satisfied
831,Full-Time,Satisfied
832,Contract,Neutral
833,Full-Time,Neutral
834,Full-Time,Very Satisfied
835,Full-Time,Neutral
836,Contract,Neutral
837,Full-Time,Neutral
838,Internship,Dissatisfied
839,Full-Time,Satisfied
840,Full-Time,Very Satisfied
841,Full-Time,Satisfied
842,Freelance,Very Satisfied
843,Internship,Dissatisfied
844,Contract,Neutral
845,Full-Time,Satisfied
846,Internship,Satisfied
847,Contract,Satisfied
848,Internship,Very Dissatisfied
849,Freelance,Very Satisfied
850,Full-Time,Neutral
851,Full-Time,Dissatisfied
852,Full-Time,Satisfied
853,Full-Time,Neutral
854,Part-Time,Satisfied
855,Full-Time,Satisfied
856,Full-Time,Satisfied
857,Contract,Neutral
858,Full-Time,Very Satisfied
859,Freelance,Satisfied
860,Freelance,Satisfied
861,Internship,Neutral
862,Contract,Very Satisfied
863,Freelance,Satisfied
864,Full-Time,Satisfied
865,Freelance,Neutral
866,Full-Time,Very Dissatisfied
867,Part-Time,Satisfied
868,Part-Time,Neutral
869,Internship,Neutral
870,Full-Time,Satisfied
871,Full-Time,Satisfied
872,Full-Time,Satisfied
873,Full-Time,Satisfied
874,Full-Time,Satisfied
875,Full-Time,Very Satisfied
876,Full-Time,Very Satisfied
877,Full-Time,Satisfied
878,Full-Time,Satisfied
879,Contract,Dissatisfied
880,Freelance,Satisfied
881,Part-Time,Satisfied
882,Full-Time,Satisfied
883,Contract,Dissatisfied
884,Full-Time,Very Satisfied
885,Full-Time,Neutral
886,Full-Time,Satisfied
887,Full-Time,Neutral
888,Freelance,Satisfied
889,Freelance,Satisfied
890,Full-Time,Satisfied
891,Freelance,Satisfied
892,Part-Time,Satisfied
893,Part-Time,Neutral
894,Full-Time,Neutral
895,Internship,Neutral
896,Freelance,Satisfied
897,Full-Time,Satisfied
898,Internship,Very Dissatisfied
899,Full-Time,Satisfied
900,Full-Time,Satisfied
901,Full-Time,Neutral
902,Freelance,Neutral
903,Contract,Neutral
904,Part-Time,Satisfied
905,Full-Time,Satisfied
906,Part-Time,Very Dissatisfied
907,Freelance,Neutral
908,Internship,Neutral
909,Part-Time,Neutral
910,Full-Time,Satisfied
911,Internship,Neutral
912,Full-Time,Satisfied
913,Contract,Satisfied
914,Contract,Very Satisfied
915,Part-Time,Satisfied
916,Full-Time,Neutral
917,Full-Time,Neutral
918,Part-Time,Satisfied
919,Contract,Neutral
920,Full-Time,Very Satisfied
921,Contract,Neutral
922,Freelance,Satisfied
923,Full-Time,Very Satisfied
924,Full-Time,Satisfied
925,Full-Time,Satisfied
926,Full-Time,Dissatisfied
927,Full-Time,Satisfied
928,Full-Time,Neutral
929,Contract,Very Satisfied
930,Full-Time,Satisfied
931,Full-Time,Neutral
932,Full-Time,Very Satisfied
933,Contract,Very Satisfied
934,Freelance,Dissatisfied
935,Full-Time,Satisfied
936,Full-Time,Very Satisfied
937,Contract,Satisfied
938,Full-Time,Satisfied
939,Full-Time,Satisfied
940,Freelance,Satisfied
941,Contract,Very Dissatisfied
942,Full-Time,Neutral
943,Freelance,Very Satisfied
944,Part-Time,Satisfied
945,Contract,Neutral
946,Full-Time,Very Satisfied
947,Full-Time,Neutral
948,Full-Time,Satisfied
949,Freelance,Very Satisfied
950,Internship,Dissatisfied
951,Part-Time,Very Satisfied
952,Full-Time,Very Satisfied
953,Freelance,Neutral
954,Full-Time,Satisfied
955,Full-Time,Satisfied
956,Full-Time,Neutral
957,Part-Time,Satisfied
958,Freelance,Satisfied
959,Part-Time,Satisfied
960,Contract,Neutral
961,Full-Time,Satisfied
962,Contract,Satisfied
963,Full-Time,Neutral
964,Internship,Dissatisfied
965,Full-Time,Very Dissatisfied
966,Internship,Very Dissatisfied
967,Part-Time,Satisfied
968,Freelance,Very Satisfied
969,Internship,Neutral
970,Contract,Very Dissatisfied
971,Part-Time,Satisfied
972,Freelance,Neutral
973,Full-Time,Very Satisfied
974,Contract,Satisfied
975,Full-Time,Very Satisfied
976,Full-Time,Satisfied
977,Contract,Dissatisfied
978,Full-Time,Satisfied
979,Part-Time,Neutral
980,Contract,Satisfied
981,Freelance,Satisfied
982,Full-Time,Satisfied
983,Freelance,Very Satisfied
984,Full-Time,Neutral
985,Contract,Very Satisfied
986,Part-Time,Dissatisfied
987,Freelance,Very Satisfied
988,Full-Time,Satisfied
989,Full-Time,Satisfied
990,Part-Time,Dissatisfied
991,Full-Time,Satisfied
992,Full-Time,Satisfied
993,Freelance,Neutral
