Date,Product,Category,Region,Quantity,Unit_Price,Sales_Amount
2025-03-08,Mouse,Accessories,Islamabad,9,1549.05,13941.45
2025-03-09,Monitor,Electronics,Lahore,2,24928.07,49856.14
2025-03-10,Headphones,Accessories,Quetta,9,4208.33,37874.97
2025-03-11,Keyboard,Accessories,Karachi,5,2807.29,14036.45
2025-03-12,Charger,Accessories,Islamabad,1,1153.93,1153.93
2025-03-13,Charger,Accessories,Peshawar,3,1232.72,3698.16
2025-03-14,Mouse,Accessories,Quetta,3,1617.61,4852.83
2025-03-15,Headphones,Accessories,Islamabad,2,4365.07,8730.14
2025-03-16,Laptop,Electronics,Peshawar,1,112685.83,112685.83
2025-03-17,Monitor,Electronics,Islamabad,4,22621.58,90486.32
2025-03-18,Laptop,Electronics,Karachi,5,129203.86,646019.3
2025-03-19,Keyboard,Accessories,Karachi,5,3256.99,16284.95
2025-03-20,Laptop,Electronics,Quetta,3,131527.96,394583.88
2025-03-21,Keyboard,Accessories,Quetta,5,2814.55,14072.75
2025-03-22,Laptop,Electronics,Islamabad,2,121363.23,242726.46
2025-03-23,Tablet,Electronics,Lahore,3,45630.55,136891.65
2025-03-24,Charger,Accessories,Lahore,6,1166.08,6996.48
2025-03-25,Tablet,Electronics,Islamabad,2,43402.96,86805.92
2025-03-26,Charger,Accessories,Karachi,9,1248.6,11237.4
2025-03-27,Charger,Accessories,Quetta,7,1180.75,8265.25
2025-03-28,Smartphone,Electronics,Karachi,8,70372.13,562977.04
2025-03-29,Smartphone,Electronics,Karachi,4,68877.84,275511.36
2025-03-30,Laptop,Electronics,Peshawar,3,116111.88,348335.64
2025-03-31,Keyboard,Accessories,Lahore,2,2963.08,5926.16
2025-04-01,Tablet,Electronics,Islamabad,9,41895.37,377058.33
2025-04-02,Mouse,Accessories,Quetta,6,1527.25,9163.5
2025-04-03,Mouse,Accessories,Karachi,4,1361.65,5446.6
2025-04-04,Tablet,Electronics,Islamabad,5,45200.19,226000.95
2025-04-05,Monitor,Electronics,Peshawar,5,24786.33,123931.65
2025-04-06,Mouse,Accessories,Quetta,4,1473.41,5893.64
2025-04-07,Headphones,Accessories,Peshawar,2,4514.67,9029.34
2025-04-08,Mouse,Accessories,Islamabad,1,1469.65,1469.65
2025-04-09,Headphones,Accessories,Peshawar,7,4275.77,29930.39
2025-04-10,Smartphone,Electronics,Quetta,7,64068.09,448476.63
2025-04-11,Keyboard,Accessories,Quetta,1,2803.98,2803.98
2025-04-12,Laptop,Electronics,Lahore,6,125150.3,750901.8
2025-04-13,Charger,Accessories,Quetta,5,1233.18,6165.9
2025-04-14,Monitor,Electronics,Quetta,6,26150.2,156901.2
2025-04-15,Headphones,Accessories,Peshawar,3,4732.06,14196.18
2025-04-16,Laptop,Electronics,Quetta,5,110259.77,551298.85
2025-04-17,Mouse,Accessories,Peshawar,5,1492.25,7461.25
2025-04-18,Smartphone,Electronics,Lahore,5,64655.13,323275.65
2025-04-19,Laptop,Electronics,Quetta,7,109153.41,764073.87
2025-04-20,Mouse,Accessories,Quetta,4,1363.59,5454.36
2025-04-21,Tablet,Electronics,Lahore,3,45028.23,135084.69
2025-04-22,Laptop,Electronics,Quetta,4,122780.43,491121.72
2025-04-23,Charger,Accessories,Lahore,1,1288.13,1288.13
2025-04-24,Charger,Accessories,Islamabad,4,1218.11,4872.44
2025-04-25,Smartphone,Electronics,Islamabad,1,64457.29,64457.29
2025-04-26,Headphones,Accessories,Islamabad,5,4613.35,23066.75
2025-04-27,Laptop,Electronics,Karachi,8,129728.42,1037827.36
2025-04-28,Keyboard,Accessories,Quetta,2,2723.38,5446.76
2025-04-29,Smartphone,Electronics,Islamabad,7,59425.45,415978.15
2025-04-30,Charger,Accessories,Quetta,2,1142.57,2285.14
2025-05-01,Tablet,Electronics,Peshawar,5,43635.03,218175.15
2025-05-02,Headphones,Accessories,Quetta,8,4711.56,37692.48
2025-05-03,Monitor,Electronics,Quetta,9,25239.86,227158.74
2025-05-04,Monitor,Electronics,Karachi,8,26534.17,212273.36
2025-05-05,Laptop,Electronics,Islamabad,4,116928.43,467713.72
2025-05-06,Tablet,Electronics,Quetta,1,46618.6,46618.6
2025-05-07,Tablet,Electronics,Karachi,3,41428.11,124284.33
2025-05-08,Laptop,Electronics,Karachi,4,127834.98,511339.92
2025-05-09,Mouse,Accessories,Quetta,3,1466.76,4400.28
2025-05-10,Keyboard,Accessories,Quetta,9,3208.29,28874.61
2025-05-11,Laptop,Electronics,Peshawar,4,121762.51,487050.04
2025-05-12,Tablet,Electronics,Quetta,5,43138.9,215694.5
2025-05-13,Laptop,Electronics,Peshawar,5,126056.99,630284.95
2025-05-14,Tablet,Electronics,Karachi,7,41320.85,289245.95
2025-05-15,Smartphone,Electronics,Lahore,7,71447.11,500129.77
2025-05-16,Smartphone,Electronics,Quetta,3,70040.15,210120.45
2025-05-17,Headphones,Accessories,Islamabad,2,4921.79,9843.58
2025-05-18,Laptop,Electronics,Lahore,1,110426.94,110426.94
2025-05-19,Tablet,Electronics,Quetta,8,41154.87,329238.96
2025-05-20,Smartphone,Electronics,Islamabad,2,59557.53,119115.06
2025-05-21,Monitor,Electronics,Islamabad,8,24371.35,194970.8
2025-05-22,Laptop,Electronics,Peshawar,1,130733.97,130733.97
2025-05-23,Laptop,Electronics,Quetta,4,116405.24,465620.96
2025-05-24,Keyboard,Accessories,Islamabad,6,3123.05,18738.3
2025-05-25,Smartphone,Electronics,Lahore,3,59945.57,179836.71
2025-05-26,Headphones,Accessories,Quetta,2,4471.79,8943.58
2025-05-27,Smartphone,Electronics,Peshawar,8,60027.84,480222.72
2025-05-28,Laptop,Electronics,Karachi,3,122000.85,366002.55
2025-05-29,Mouse,Accessories,Karachi,1,1374.87,1374.87
2025-05-30,Laptop,Electronics,Quetta,6,127250.62,763503.72
2025-05-31,Monitor,Electronics,Quetta,5,22717.0,113585.0
2025-06-01,Monitor,Electronics,Islamabad,5,23764.95,118824.75
2025-06-02,Headphones,Accessories,Peshawar,9,4520.79,40687.11
2025-06-03,Laptop,Electronics,Karachi,1,123061.39,123061.39
2025-06-04,Mouse,Accessories,Islamabad,7,1363.63,9545.41
2025-06-05,Keyboard,Accessories,Lahore,8,2936.71,23493.68
2025-06-06,Charger,Accessories,Peshawar,5,1146.57,5732.85
2025-06-07,Keyboard,Accessories,Peshawar,8,2912.01,23296.08
2025-06-08,Smartphone,Electronics,Peshawar,5,71167.13,355835.65
2025-06-09,Charger,Accessories,Islamabad,6,1087.76,6526.56
2025-06-10,Laptop,Electronics,Karachi,5,127531.08,637655.4
2025-06-11,Keyboard,Accessories,Quetta,3,3193.52,9580.56
2025-06-12,Smartphone,Electronics,Islamabad,5,66474.4,332372.0
2025-06-13,Smartphone,Electronics,Lahore,8,69896.6,559172.8
2025-06-14,Headphones,Accessories,Quetta,5,4073.73,20368.65
2025-06-15,Laptop,Electronics,Karachi,2,131694.63,263389.26
2025-06-16,Laptop,Electronics,Islamabad,5,125989.88,629949.4
2025-06-17,Laptop,Electronics,Islamabad,1,128119.89,128119.89
2025-06-18,Smartphone,Electronics,Karachi,3,60240.08,180720.24
2025-06-19,Monitor,Electronics,Peshawar,1,25171.73,25171.73
2025-06-20,Monitor,Electronics,Islamabad,5,25425.75,127128.75
2025-06-21,Monitor,Electronics,Quetta,3,23736.74,71210.22
2025-06-22,Mouse,Accessories,Karachi,1,1636.22,1636.22
2025-06-23,Monitor,Electronics,Peshawar,1,25858.5,25858.5
2025-06-24,Charger,Accessories,Lahore,8,1085.32,8682.56
2025-06-25,Smartphone,Electronics,Lahore,6,68540.14,411240.84
2025-06-26,Headphones,Accessories,Lahore,1,4546.72,4546.72
2025-06-27,Monitor,Electronics,Islamabad,9,25449.78,229048.02
2025-06-28,Tablet,Electronics,Quetta,5,46254.25,231271.25
2025-06-29,Headphones,Accessories,Islamabad,7,4172.73,29209.11
2025-06-30,Keyboard,Accessories,Lahore,6,3064.85,18389.1
2025-07-01,Smartphone,Electronics,Islamabad,3,70254.06,210762.18
2025-07-02,Keyboard,Accessories,Karachi,6,2970.55,17823.3
2025-07-03,Tablet,Electronics,Peshawar,7,45212.42,316486.94
2025-07-04,Laptop,Electronics,Quetta,4,119024.32,476097.28
2025-07-05,Laptop,Electronics,Lahore,1,114197.87,114197.87
2025-07-06,Charger,Accessories,Quetta,2,1228.99,2457.98
2025-07-07,Smartphone,Electronics,Quetta,3,65484.42,196453.26
2025-07-08,Tablet,Electronics,Islamabad,6,46779.01,280674.06
2025-07-09,Keyboard,Accessories,Peshawar,8,2947.0,23576.0
2025-07-10,Charger,Accessories,Islamabad,2,1224.46,2448.92
2025-07-11,Headphones,Accessories,Islamabad,5,4202.04,21010.2
2025-07-12,Keyboard,Accessories,Lahore,6,2753.22,16519.32
2025-07-13,Laptop,Electronics,Quetta,9,116543.8,1048894.2
2025-07-14,Mouse,Accessories,Lahore,1,1501.03,1501.03
2025-07-15,Monitor,Electronics,Islamabad,9,22961.45,206653.05
2025-07-16,Tablet,Electronics,Karachi,6,41235.83,247414.98
2025-07-17,Mouse,Accessories,Islamabad,1,1433.06,1433.06
2025-07-18,Laptop,Electronics,Karachi,3,112428.5,337285.5
2025-07-19,Tablet,Electronics,Lahore,7,45281.39,316969.73
