total_bill,tip,sex,smoker,day,time,size
19.42,2.69,Female,Yes,Sat,Dinner,2
28.62,5.38,Male,Yes,Thur,Lunch,4
40.8,6.44,Male,No,Thur,Lunch,3
24.34,5.33,Male,Yes,Sun,Dinner,2
24.48,3.56,Male,No,Fri,Dinner,3
20.63,2.6,Female,No,Sat,Dinner,1
17.53,3.12,Female,No,Fri,Lunch,2
25.55,2.38,Male,No,Sun,Dinner,4
12.91,2.29,Female,No,Thur,Lunch,3
20.58,3.17,Female,No,Fri,Dinner,2
21.4,4.74,Male,No,Sat,Dinner,4
21.64,1.8,Male,No,Fri,Dinner,2
22.15,3.37,Male,No,Sat,Dinner,2
12.84,2.07,Male,No,Sat,Dinner,3
26.23,5.83,Male,Yes,Thur,Lunch,5
21.79,2.78,Male,Yes,Sat,Dinner,3
20.12,3.97,Male,Yes,Sat,Dinner,2
12.56,2.54,Female,Yes,Thur,Lunch,4
21.5,2.89,Female,Yes,Sat,Dinner,2
20.01,3.07,Male,No,Thur,Lunch,2
24.6,3.13,Male,No,Sun,Dinner,2
26.18,4.82,Male,No,Sat,Dinner,3
13.3,2.39,Male,No,Thur,Lunch,4
11.31,1.3,Male,Yes,Thur,Lunch,2
21.67,3.0,Male,No,Sun,Dinner,4
22.68,4.44,Male,Yes,Sun,Dinner,2
26.25,5.04,Male,Yes,Sat,Dinner,6
25.05,3.17,Male,No,Thur,Lunch,2
14.43,2.33,Male,Yes,Thur,Lunch,2
30.3,4.65,Female,Yes,Sun,Dinner,2
19.28,3.51,Male,Yes,Fri,Lunch,2
34.8,6.98,Male,Yes,Sat,Dinner,2
21.48,3.95,Female,Yes,Sun,Dinner,2
18.27,3.67,Female,No,Sat,Dinner,3
26.69,4.94,Male,No,Sat,Dinner,2
31.28,3.57,Female,Yes,Sat,Dinner,4
24.16,2.69,Female,No,Fri,Dinner,4
23.06,3.37,Female,No,Thur,Lunch,2
27.27,6.93,Male,Yes,Thur,Lunch,2
16.35,2.73,Female,Yes,Sat,Dinner,2
26.91,3.78,Male,No,Sat,Dinner,2
24.62,3.36,Male,No,Sat,Dinner,2
24.1,2.86,Male,No,Sat,Dinner,1
32.61,5.38,Female,No,Thur,Lunch,2
15.29,1.55,Male,No,Sat,Dinner,3
41.97,7.73,Female,No,Sun,Dinner,2
25.32,3.81,Female,Yes,Sat,Dinner,3
19.33,2.81,Male,No,Sat,Dinner,2
11.51,1.43,Female,No,Sat,Dinner,2
14.36,2.74,Male,No,Fri,Dinner,2
12.1,1.49,Female,No,Sat,Dinner,2
39.76,2.49,Female,No,Thur,Lunch,6
21.83,2.77,Female,No,Sun,Dinner,2
12.44,1.5,Male,No,Thur,Lunch,3
18.93,1.91,Male,No,Fri,Dinner,2
32.82,7.19,Male,No,Sun,Dinner,4
37.5,8.34,Male,No,Thur,Lunch,2
20.19,2.05,Female,No,Sat,Dinner,2
36.85,5.46,Male,Yes,Thur,Lunch,3
38.23,6.44,Female,Yes,Sun,Dinner,2
32.06,3.49,Female,No,Thur,Lunch,3
27.65,5.8,Male,Yes,Thur,Lunch,2
13.07,2.34,Female,No,Sat,Dinner,2
35.68,7.41,Female,No,Sun,Dinner,3
25.68,3.16,Male,Yes,Fri,Lunch,5
27.47,3.52,Male,Yes,Sat,Dinner,3
24.68,3.43,Male,Yes,Sun,Dinner,2
12.14,1.19,Female,No,Sat,Dinner,2
30.25,4.4,Male,No,Sat,Dinner,2
32.36,3.28,Male,Yes,Thur,Lunch,5
43.75,4.3,Male,No,Fri,Lunch,3
30.67,7.59,Female,Yes,Sat,Dinner,2
24.78,4.2,Male,No,Thur,Lunch,3
21.83,2.85,Male,No,Thur,Lunch,2
23.1,3.77,Male,No,Sat,Dinner,2
21.04,2.74,Male,Yes,Sat,Dinner,2
38.16,11.32,Female,No,Fri,Dinner,2
25.31,3.87,Female,Yes,Thur,Lunch,2
18.15,3.57,Female,Yes,Sun,Dinner,2
39.23,7.85,Female,No,Thur,Lunch,3
23.87,3.39,Male,No,Sun,Dinner,2
10.51,1.42,Male,No,Fri,Lunch,3
19.0,3.5,Female,No,Fri,Dinner,2
33.88,7.8,Male,No,Thur,Lunch,5
32.89,5.77,Male,Yes,Thur,Lunch,2
26.64,4.68,Male,No,Fri,Dinner,5
32.99,5.68,Male,Yes,Sun,Dinner,2
24.94,3.9,Female,Yes,Sun,Dinner,2
43.5,4.69,Male,No,Fri,Dinner,2
12.99,1.99,Female,No,Fri,Dinner,2
20.95,3.06,Male,No,Sat,Dinner,5
28.72,4.99,Female,No,Sun,Dinner,2
30.57,2.23,Female,No,Fri,Lunch,3
28.87,2.73,Male,No,Sat,Dinner,2
25.92,3.04,Male,No,Sun,Dinner,2
16.03,2.35,Male,Yes,Sun,Dinner,2
28.83,5.28,Female,No,Fri,Dinner,4
15.48,1.97,Male,No,Sat,Dinner,3
17.54,2.24,Male,No,Sun,Dinner,3
22.04,2.1,Male,Yes,Fri,Dinner,2
27.68,4.07,Male,Yes,Fri,Dinner,2
14.5,2.41,Male,No,Thur,Lunch,2
16.68,1.45,Male,No,Sat,Dinner,2
39.29,5.84,Male,No,Sun,Dinner,2
14.74,3.65,Female,Yes,Sat,Dinner,2
16.22,2.42,Male,Yes,Thur,Lunch,2
12.79,2.63,Female,No,Sat,Dinner,4
22.57,5.52,Male,No,Sat,Dinner,2
19.67,3.16,Male,Yes,Thur,Lunch,2
25.44,4.66,Male,No,Sun,Dinner,3
25.44,3.91,Female,No,Sat,Dinner,2
24.97,5.73,Male,No,Fri,Lunch,5
25.62,4.91,Female,No,Fri,Dinner,2
25.3,4.3,Male,Yes,Sun,Dinner,2
22.5,3.11,Male,Yes,Thur,Lunch,2
17.24,2.92,Female,No,Sat,Dinner,3
18.34,2.3,Male,Yes,Sat,Dinner,3
20.38,3.92,Female,No,Thur,Lunch,2
31.46,5.08,Female,Yes,Sat,Dinner,2
15.58,1.91,Male,No,Sun,Dinner,2
